"test_num","board","sensor","marble_color","min_value","max_value","low_threshold","high_threshold","min_range","max_range","sensor_amplitude","monitored_mean","coeff_monitored_range","coeff_full_range","Maxy ref alpha","maxy i ref","maxy cal alpha","adjusted_full_range"
1,3,1," White  ",3012,3108,2724,4095,1455,3108,1653,3060,0.970961887477314,0.984555984555985,3143,3051,3174,0.993154186021008
1,3,2," NONE   ",0,0,0,599,1198,2651,1453,0,-0.824501032346869,0,3143,2712,3174,0
1,3,2," Red    ",1198,1285,599,1480,1198,2651,1453,1241.5,0.0299380591878871,0.468313843832516,3143,2712,3174,0.453309162479809
1,3,2," Blue   ",1674,1727,1480,1887,1198,2651,1453,1700.5,0.345836200963524,0.641456054319125,3143,2712,3174,0.620903931370854
1,3,2," Yellow ",2047,2160,1887,2336,1198,2651,1453,2103.5,0.623193392980041,0.793474160694078,3143,2712,3174,0.768051408196761
1,3,2," White  ",2512,2651,2336,4095,1198,2651,1453,2581.5,0.95216792842395,0.973783477932856,3143,2712,3174,0.942583651181335
1,3,3," NONE   ",0,0,0,664,1329,2973,1644,0,-0.808394160583942,0,3143,2992,3174,0
1,3,3," Red    ",1329,1395,664,1652,1329,2973,1644,1362,0.0200729927007299,0.458123107971746,3143,2992,3174,0.450767895231645
1,3,3," Blue   ",1909,1997,1652,2124,1329,2973,1644,1953,0.37956204379562,0.656912209889001,3143,2992,3174,0.646365418052425
1,3,3," Yellow ",2252,2304,2124,2568,1329,2973,1644,2278,0.577250608272506,0.766229397914564,3143,2992,3174,0.753927507590078
1,3,3," White  ",2833,2973,2568,4095,1329,2973,1644,2903,0.957420924574209,0.976454759502186,3143,2992,3174,0.960777679777874
1,3,4," NONE   ",0,0,0,600,1201,2516,1315,0,-0.913307984790874,0,3143,2429,3174,0
1,3,4," Red    ",1201,1232,600,1370,1201,2516,1315,1216.5,0.011787072243346,0.483505564387917,3143,2429,3174,0.495931914383618
1,3,4," Blue   ",1507,1635,1370,1746,1201,2516,1315,1571,0.281368821292776,0.624403815580286,3143,2429,3174,0.640451325521301
1,3,4," Yellow ",1858,1934,1746,2185,1201,2516,1315,1896,0.52851711026616,0.753577106518283,3143,2429,3174,0.772944438694072
1,3,4," White  ",2436,2516,2185,4095,1201,2516,1315,2476,0.96958174904943,0.984101748807631,3143,2429,3174,1.00939368681779
1,3,5," NONE   ",0,0,0,460,921,2036,1115,0,-0.826008968609865,0,3143,2020,3174,0
1,3,5," Red    ",921,961,460,1147,921,2036,1115,941,0.0179372197309417,0.462180746561886,3143,2020,3174,0.461291776625678
1,3,5," Blue   ",1333,1396,1147,1411,921,2036,1115,1364.5,0.397757847533632,0.670186640471513,3143,2020,3174,0.668897586828626
1,3,5," Yellow ",1426,1604,1411,1797,921,2036,1115,1515,0.532735426008969,0.744106090373281,3143,2020,3174,0.742674858223062
1,3,5," White  ",1990,2036,1797,4095,921,2036,1115,2013,0.979372197309417,0.988703339882122,3143,2020,3174,0.986801643302326
1,3,6," NONE   ",0,0,0,516,1032,2176,1144,0,-0.902097902097902,0,3143,2113,3174,0
1,3,6," Red    ",1032,1095,516,1230,1032,2176,1144,1063.5,0.027534965034965,0.488740808823529,3143,2113,3174,0.49839704162816
1,3,6," Blue   ",1365,1498,1230,1580,1032,2176,1144,1431.5,0.349213286713287,0.657858455882353,3143,2113,3174,0.670856008547919
1,3,6," Yellow ",1661,1716,1580,1934,1032,2176,1144,1688.5,0.573863636363636,0.775965073529412,3143,2113,3174,0.791296102293511
1,3,6," White  ",2151,2176,1934,4095,1032,2176,1144,2163.5,0.989073426573427,0.994255514705882,3143,2113,3174,1.01389938839918
1,3,7," NONE   ",0,0,0,590,1181,2602,1421,0,-0.831104855735398,0,3143,2623,3174,0
1,3,7," Red    ",1181,1257,590,1410,1181,2602,1421,1219,0.0267417311752287,0.468485780169101,3143,2623,3174,0.460196036179394
