board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
3;5;" Orange ";167;242;83;343
3;5;" Red    ";409;459;343;493
3;5;" Green  ";571;661;493;793
3;5;" Blue   ";940;1032;793;1272
3;5;" White  ";1512;1703;1272;4095
3;6;" NONE   ";0;0;0;127
3;6;" Orange ";254;331;127;409
3;6;" Red    ";473;565;409;631
3;6;" Green  ";668;736;631;882
3;6;" Blue   ";1040;1116;882;1340
3;6;" White  ";1564;1779;1340;4095
3;7;" NONE   ";0;0;0;175
3;7;" Orange ";350;460;175;600
3;7;" Red    ";642;687;600;730
3;7;" Green  ";836;936;730;1133
3;7;" Blue   ";1319;1393;1133;1699
3;7;" White  ";2005;2216;1699;4095
3;8;" NONE   ";0;0;0;115
3;8;" Orange ";231;327;115;415
3;8;" Red    ";472;521;415;553
3;8;" Green  ";648;763;553;932
3;8;" Blue   ";1029;1109;932;1349
3;8;" White  ";1589;1782;1349;4095
3;9;" NONE   ";0;0;0;128
3;9;" Orange ";257;375;128;454
3;9;" Red    ";484;577;454;624
3;9;" Green  ";651;726;624;836
3;9;" Blue   ";1002;1097;836;1324
3;9;" White  ";1551;1753;1324;4095
3;10;" NONE   ";0;0;0;118
3;10;" Orange ";236;334;118;438
3;10;" Red    ";486;535;438;608
3;10;" Green  ";663;706;608;858
3;10;" Blue   ";1031;1107;858;1335
3;10;" White  ";1563;1733;1335;4095
3;11;" NONE   ";0;0;0;131
3;11;" Orange ";263;339;131;425
3;11;" Red    ";462;497;425;543
3;11;" Green  ";657;743;543;853
3;11;" Blue   ";1001;1123;853;1412
3;11;" White  ";1701;1837;1412;4095
3;12;" NONE   ";0;0;0;153
3;12;" Orange ";307;379;153;461
3;12;" Red    ";568;647;461;718
3;12;" Green  ";808;897;718;1051
3;12;" Blue   ";1232;1322;1051;1630
3;12;" White  ";1939;2086;1630;4095
3;13;" NONE   ";0;0;0;116
3;13;" Orange ";233;303;116;403
3;13;" Red    ";469;518;403;604
3;13;" Green  ";680;729;604;840
3;13;" Blue   ";1010;1079;840;1309
3;13;" White  ";1539;1716;1309;4095
3;14;" NONE   ";0;0;0;197
3;14;" Orange ";394;497;197;555
3;14;" Red    ";627;712;555;777
3;14;" Green  ";888;972;777;1154
3;14;" Blue   ";1362;1440;1154;1781
3;14;" White  ";2123;2271;1781;4095
3;15;" NONE   ";0;0;0;193
3;15;" Orange ";387;505;193;616
3;15;" Red    ";660;706;616;739
3;15;" Green  ";842;947;739;1162
3;15;" Blue   ";1346;1399;1162;1708
3;15;" White  ";2018;2277;1708;4095
4;0;" NONE   ";0;0;0;611
4;0;" Orange ";1222;1442;611;1617
4;0;" Red    ";1746;1895;1617;2075
4;0;" Green  ";2302;2484;2075;2687
4;0;" Blue   ";3161;3487;2687;3623
4;0;" White  ";3760;3768;3623;4095
4;1;" NONE   ";0;0;0;637
4;1;" Orange ";1274;1525;637;1759
4;1;" Red    ";1902;2027;1759;2123
4;1;" Green  ";2364;2606;2123;3202
4;1;" Blue   ";3544;3670;3202;3715
4;1;" White  ";3761;3774;3715;4095
4;2;" NONE   ";0;0;0;519
4;2;" Orange ";1038;1213;519;1446
4;2;" Red    ";1505;1576;1446;1676
4;2;" Green  ";1876;2077;1676;2459
4;2;" Blue   ";2733;2877;2459;3289
4;2;" White  ";3701;3737;3289;4095
4;3;" NONE   ";0;0;0;515
4;3;" Orange ";1031;1208;515;1381
4;3;" Red    ";1508;1640;1381;1756
4;3;" Green  ";1930;2143;1756;2444
4;3;" Blue   ";2856;3109;2444;3415
4;3;" White  ";3721;3746;3415;4095
4;4;" NONE   ";0;0;0;499
4;4;" Orange ";999;1195;499;1366
4;4;" Red    ";1450;1526;1366;1639
4;4;" Green  ";1864;1989;1639;2211
4;4;" Blue   ";2678;2883;2211;3298
4;4;" White  ";3714;3736;3298;4095
4;5;" NONE   ";0;0;0;375
