test_num;board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold;;min_range;max_range;sensor_amplitude;monitored_mean;coeff_monitored_range;coeff_full_range;adjusting_factor;coeff_adjusted;Maxy ref alpha;maxy i ref;maxy cal alpha;adjusted_full_range
0;1;13; Black  ;283;324;172;998;;283;2669;2386;303.5;0.00859178541492037;0.113713001124016;1;303.5;2240;2669;2240;0.113713001124016
0;1;13; Red    ;1673;1703;998;1884;;283;2669;2386;1688;0.588851634534786;0.632446609216935;1;1688;2240;2669;2240;0.632446609216935
0;1;13; Blue   ;2066;2422;1884;2472;;283;2669;2386;2244;0.821877619446773;0.840764331210191;1;2244;2240;2669;2240;0.840764331210191
0;1;13; Yellow ;2521;2669;2472;2882;;283;2669;2386;2595;0.968985750209556;0.97227426002248;1;2595;2240;2669;2240;0.97227426002248
0;1;13; White  ;3094;3181;2882;4095;;283;2669;2386;3137.5;1.1963537300922;1.17553390783065;1;3137.5;2240;2669;2240;1.17553390783065
0;1;14; NONE   ;6;40;0;150;;261;2680;2419;23;-0.0983877635386523;0.00858208955223881;1;23;2240;2680;2240;0.00858208955223881
0;1;14; Black  ;261;357;150;992;;261;2680;2419;309;0.0198429102935097;0.115298507462687;1;309;2240;2680;2240;0.115298507462687
0;1;14; Red    ;1626;1755;992;1997;;261;2680;2419;1690.5;0.590946672178586;0.630783582089552;1;1690.5;2240;2680;2240;0.630783582089552
0;1;14; Blue   ;2239;2324;1997;2476;;261;2680;2419;2281.5;0.835262505167425;0.851305970149254;1;2281.5;2240;2680;2240;0.851305970149254
0;1;14; Yellow ;2629;2680;2476;2968;;261;2680;2419;2654.5;0.989458453906573;0.990485074626866;1;2654.5;2240;2680;2240;0.990485074626866
0;1;14; White  ;3256;3323;2968;4095;;261;2680;2419;3289.5;1.25196362133113;1.22742537313433;1;3289.5;2240;2680;2240;1.22742537313433
0;1;15; NONE   ;22;65;0;206;;346;3103;2757;43.5;-0.109720710917664;0.014018691588785;1;43.5;2240;3103;2240;0.014018691588785
0;1;15; Black  ;346;437;206;1160;;346;3103;2757;391.5;0.0165034457743925;0.126168224299065;1;391.5;2240;3103;2240;0.126168224299065
0;1;15; Red    ;1882;1915;1160;2327;;346;3103;2757;1898.5;0.563112078346028;0.611827263938124;1;1898.5;2240;3103;2240;0.611827263938124
0;1;15; Blue   ;2739;2776;2327;2906;;346;3103;2757;2757.5;0.8746826260428;0.88865613922011;1;2757.5;2240;3103;2240;0.88865613922011
0;1;15; Yellow ;3036;3103;2906;3387;;346;3103;2757;3069.5;0.98784911135292;0.989203996132775;1;3069.5;2240;3103;2240;0.989203996132775
0;1;15; White  ;3671;3729;3387;4095;;346;3103;2757;3700;1.21653971708379;1.19239445697712;1;3700;2240;3103;2240;1.19239445697712
1;1;0; NONE   ;121;164;0;334;;503;3620;3117;142.5;-0.115656079563683;0.0393646408839779;0.978588807785888;139.448905109489;2240;3735;2301;0.0371411766143234
1;1;0; Black  ;503;570;334;1434;;503;3620;3117;536.5;0.0107475136349054;0.148204419889503;0.978588807785888;525.012895377129;2240;3735;2301;0.139833271954979
1;1;0; Red    ;2298;2335;1434;2595;;503;3620;3117;2316.5;0.581809432146295;0.639917127071823;0.978588807785888;2266.90097323601;2240;3735;2301;0.60377217983916
1;1;0; Blue   ;2855;3105;2595;3276;;503;3620;3117;2980;0.794674366377928;0.823204419889503;0.978588807785888;2916.19464720195;2240;3735;2301;0.776706710952167
