board;sensor;marble_color;min_value;max_value;mean;low_threshold;high_threshold
3;6;" Orange ";818;1064;919;414;1335
3;6;" Green  ";1607;1766;1684;1335;2571
3;6;" White  ";3376;3747;3670;2571;4095
3;7;" NONE   ";0;7;0;0;522
3;7;" Orange ";1037;1214;1113;522;1529
3;7;" Green  ";1844;2113;2001;1529;2947
3;7;" White  ";3781;3814;3797;2947;4095
3;8;" NONE   ";0;39;1;0;411
3;8;" Orange ";784;1008;900;411;1258
3;8;" Green  ";1509;1642;1590;1258;2623
3;8;" White  ";3604;3713;3662;2623;4095
3;9;" NONE   ";0;52;2;0;425
3;9;" Orange ";799;937;869;425;1233
3;9;" Green  ";1530;1715;1604;1233;2504
3;9;" White  ";3293;3697;3597;2504;4095
3;10;" NONE   ";0;35;1;0;438
3;10;" Orange ";842;1006;928;438;1280
3;10;" Green  ";1554;1714;1625;1280;2614
3;10;" White  ";3515;3694;3632;2614;4095
3;11;" NONE   ";0;6;0;0;405
3;11;" Orange ";805;999;915;405;1295
3;11;" Green  ";1591;1726;1648;1295;2608
3;11;" White  ";3491;3744;3677;2608;4095
3;12;" NONE   ";0;10;0;0;506
3;12;" Orange ";1003;1205;1096;506;1518
3;12;" Green  ";1832;2116;1975;1518;2932
3;12;" White  ";3748;3802;3789;2932;4095
3;13;" NONE   ";0;14;0;0;423
3;13;" Orange ";833;983;908;423;1261
3;13;" Green  ";1540;1720;1630;1261;2666
3;13;" White  ";3613;3705;3667;2666;4095
3;14;" NONE   ";0;5;0;0;536
3;14;" Orange ";1068;1327;1169;536;1656
3;14;" Green  ";1986;2239;2128;1656;3003
3;14;" White  ";3768;3818;3801;3003;4095
3;15;" NONE   ";0;39;3;0;566
3;15;" Orange ";1094;1306;1195;566;1635
3;15;" Green  ";1965;2209;2120;1635;2993
3;15;" White  ";3777;3810;3793;2993;4095
4;0;" NONE   ";0;21;0;0;600
4;0;" Orange ";1180;1382;1284;600;1789
4;0;" Green  ";2197;2413;2314;1789;3122
4;0;" White  ";3831;3854;3847;3122;4095
4;1;" NONE   ";0;20;0;0;635
4;1;" Orange ";1251;1495;1358;635;1921
4;1;" Green  ";2347;2638;2471;1921;3237
4;1;" White  ";3836;3863;3851;3237;4095
4;2;" NONE   ";0;38;4;0;535
4;2;" Orange ";1033;1167;1111;535;1532
4;2;" Green  ";1898;2062;1972;1532;2924
4;2;" White  ";3786;3812;3799;2924;4095
4;3;" NONE   ";0;122;14;0;563
4;3;" Orange ";1004;1130;1072;563;1502
4;3;" Green  ";1875;1985;1937;1502;2879
4;3;" White  ";3774;3835;3811;2879;4095
4;4;" NONE   ";0;19;0;0;484
4;4;" Orange ";950;1150;1058;484;1490
4;4;" Green  ";1831;1950;1891;1490;2859
4;4;" White  ";3768;3816;3796;2859;4095
4;5;" NONE   ";0;4;0;0;368
4;5;" Orange ";732;887;807;368;1141
4;5;" Green  ";1395;1565;1497;1141;2463
4;5;" White  ";3362;3449;3414;2463;4095
4;6;" NONE   ";0;7;0;0;430
4;6;" Orange ";854;973;897;430;1263
4;6;" Green  ";1554;1771;1673;1263;2570
4;6;" White  ";3370;3765;3682;2570;4095
4;7;" NONE   ";0;17;0;0;457
4;7;" Orange ";898;1075;991;457;1380
4;7;" Green  ";1686;1909;1809;1380;2809
4;7;" White  ";3709;3814;3786;2809;4095
4;8;" NONE   ";0;7;0;0;476
4;8;" Orange ";946;1121;1048;476;1496
4;8;" Green  ";1871;1975;1936;1496;2876
4;8;" White  ";3777;3831;3808;2876;4095
4;9;" NONE   ";0;9;0;0;392
4;9;" Orange ";776;937;841;392;1193
4;9;" Green  ";1450;1663;1569;1193;2564
4;9;" White  ";3466;3632;3545;2564;4095
4;10;" NONE   ";0;0;0;0;379
4;10;" Orange ";759;920;848;379;1198
4;10;" Green  ";1477;1615;1552;1198;2534
4;10;" White  ";3454;3539;3490;2534;4095
4;11;" NONE   ";0;10;0;0;420
4;11;" Orange ";830;1027;939;420;1308
4;11;" Green  ";1590;1757;1689;1308;2674
4;11;" White  ";3591;3794;3739;2674;4095
4;12;" NONE   ";0;0;0;0;506
4;12;" Orange ";1012;1212;1088;506;1565
4;12;" Green  ";1919;2075;1989;1565;2927
4;12;" White  ";3780;3820;3806;2927;4095
4;13;" NONE   ";0;23;0;0;546
4;13;" Orange ";1069;1206;1143;546;1549
4;13;" Green  ";1893;2074;1994;1549;2937
4;13;" White  ";3801;3827;3811;2937;4095
4;14;" NONE   ";0;7;0;0;510
4;14;" Orange ";1013;1248;1153;510;1617
4;14;" Green  ";1986;2266;2142;1617;3035
4;14;" White  ";3805;3840;3820;3035;4095
4;15;" NONE   ";0;20;0;0;486
4;15;" Orange ";953;1132;1052;486;1446
4;15;" Green  ";1761;1949;1861;1446;2862
4;15;" White  ";3776;3806;3796;2862;4095
5;0;" NONE   ";0;9;0;0;612
5;0;" Orange ";1216;1349;1277;612;1776
5;0;" Green  ";2203;2415;2304;1776;3125
5;0;" White  ";3836;3868;3846;3125;4095
5;1;" NONE   ";0;14;0;0;616
5;1;" Orange ";1219;1506;1349;616;1913
5;1;" Green  ";2321;2500;2407;1913;3168
5;1;" White  ";3837;3866;3847;3168;4095
5;2;" NONE   ";0;19;0;0;500
5;2;" Orange ";981;1186;1083;500;1508
5;2;" Green  ";1831;1979;1881;1508;2880
5;2;" White  ";3781;3824;3806;2880;4095
5;3;" NONE   ";0;0;0;0;513
5;3;" Orange ";1026;1292;1193;513;1631
5;3;" Green  ";1971;2188;2102;1631;2984
5;3;" White  ";3781;3851;3823;2984;4095
5;4;" NONE   ";0;0;0;0;490
5;4;" Orange ";980;1128;1066;490;1484
5;4;" Green  ";1840;2002;1930;1484;2894
5;4;" White  ";3786;3823;3806;2894;4095
5;5;" NONE   ";0;0;0;0;403
5;5;" Orange ";806;962;879;403;1239
5;5;" Green  ";1517;1674;1592;1239;2607
5;5;" White  ";3541;3684;3611;2607;4095
5;6;" NONE   ";0;0;0;0;409
5;6;" Orange ";818;973;899;409;1280
5;6;" Green  ";1587;1816;1681;1280;2775
5;6;" White  ";3735;3786;3760;2775;4095
5;7;" NONE   ";0;0;0;0;428
5;7;" Orange ";856;1076;971;428;1389
5;7;" Green  ";1703;1952;1803;1389;2838
5;7;" White  ";3724;3808;3779;2838;4095
5;8;" NONE   ";0;7;0;0;518
5;8;" Orange ";1030;1314;1155;518;1673
5;8;" Green  ";2032;2245;2152;1673;3017
5;8;" White  ";3790;3828;3817;3017;4095
5;9;" NONE   ";0;0;0;0;402
5;9;" Orange ";805;940;860;402;1242
5;9;" Green  ";1544;1744;1642;1242;2730
5;9;" White  ";3717;3771;3740;2730;4095
5;10;" NONE   ";0;6;0;0;423
5;10;" Orange ";840;975;919;423;1288
5;10;" Green  ";1602;1774;1697;1288;2746
5;10;" White  ";3718;3772;3744;2746;4095
5;11;" NONE   ";0;0;0;0;435
5;11;" Orange ";871;1028;967;435;1355
5;11;" Green  ";1683;1862;1786;1355;2800
5;11;" White  ";3739;3798;3780;2800;4095
5;12;" NONE   ";0;0;0;0;514
5;12;" Orange ";1029;1217;1130;514;1578
5;12;" Green  ";1940;2102;2012;1578;2939
5;12;" White  ";3776;3823;3806;2939;4095
5;13;" NONE   ";0;2;0;0;463
5;13;" Orange ";924;1156;1003;463;1452
5;13;" Green  ";1749;1909;1821;1452;2840
5;13;" White  ";3771;3798;3784;2840;4095
5;14;" NONE   ";0;0;0;0;488
5;14;" Orange ";977;1226;1089;488;1567
5;14;" Green  ";1908;2059;1992;1567;2921
5;14;" White  ";3784;3812;3802;2921;4095
5;15;" NONE   ";0;23;0;0;540
5;15;" Orange ";1058;1279;1172;540;1661
5;15;" Green  ";2044;2259;2133;1661;3029
5;15;" White  ";3799;3817;3808;3029;4095
6;0;" NONE   ";0;0;0;0;526
6;0;" Orange ";1052;1287;1163;526;1642
6;0;" Green  ";1997;2222;2119;1642;2946
6;0;" White  ";3670;3692;3675;2946;4095
6;1;" NONE   ";0;0;0;0;520
6;1;" Orange ";1041;1297;1196;520;1734
6;1;" Green  ";2171;2393;2254;1734;3028
6;1;" White  ";3663;3692;3681;3028;4095
6;2;" NONE   ";0;0;0;0;521
6;2;" Orange ";1043;1314;1179;521;1683
6;2;" Green  ";2052;2239;2151;1683;2947
6;2;" White  ";3656;3687;3673;2947;4095
6;3;" NONE   ";0;0;0;0;621
6;3;" Orange ";1243;1515;1364;621;1919
6;3;" Green  ";2324;2520;2416;1919;3090
6;3;" White  ";3661;3689;3678;3090;4095
6;4;" NONE   ";0;0;0;0;502
6;4;" Orange ";1005;1206;1121;502;1564
6;4;" Green  ";1923;2082;2027;1564;2865
6;4;" White  ";3648;3670;3659;2865;4095
6;5;" NONE   ";0;1;0;0;449
6;5;" Orange ";897;1146;1041;449;1456
6;5;" Green  ";1766;1932;1859;1456;2774
6;5;" White  ";3616;3653;3634;2774;4095
6;6;" NONE   ";0;0;0;0;423
6;6;" Orange ";847;1118;957;423;1406
6;6;" Green  ";1695;1858;1774;1406;2735
6;6;" White  ";3612;3654;3641;2735;4095
6;7;" NONE   ";0;0;0;0;453
6;7;" Orange ";906;1142;1031;453;1457
6;7;" Green  ";1773;2027;1920;1457;2825
6;7;" White  ";3623;3660;3646;2825;4095
6;8;" NONE   ";0;0;0;0;458
6;8;" Orange ";916;1025;974;458;1375
6;8;" Green  ";1726;1976;1869;1375;2797
6;8;" White  ";3618;3657;3643;2797;4095
6;9;" NONE   ";0;0;0;0;527
6;9;" Orange ";1055;1329;1179;527;1686
6;9;" Green  ";2043;2258;2139;1686;2953
6;9;" White  ";3649;3671;3661;2953;4095
6;10;" NONE   ";0;0;0;0;478
6;10;" Orange ";957;1138;1061;478;1453
6;10;" Green  ";1769;2007;1890;1453;2820
6;10;" White  ";3634;3660;3647;2820;4095
6;11;" NONE   ";0;0;0;0;543
6;11;" Orange ";1086;1265;1198;543;1663
6;11;" Green  ";2061;2284;2188;1663;2968
6;11;" White  ";3652;3678;3662;2968;4095
6;12;" NONE   ";0;0;0;0;506
6;12;" Orange ";1013;1250;1172;506;1667
6;12;" Green  ";2085;2299;2188;1667;2974
6;12;" White  ";3649;3675;3660;2974;4095
6;13;" NONE   ";0;0;0;0;589
6;13;" Orange ";1178;1306;1250;589;1742
6;13;" Green  ";2178;2364;2265;1742;3006
6;13;" White  ";3648;3683;3664;3006;4095
6;14;" NONE   ";0;0;0;0;525
6;14;" Orange ";1051;1306;1186;525;1675
6;14;" Green  ";2044;2277;2189;1675;2961
6;14;" White  ";3645;3675;3657;2961;4095
6;15;" NONE   ";0;0;0;0;494
6;15;" Orange ";988;1190;1100;494;1563
6;15;" Green  ";1937;2121;2021;1563;2880
6;15;" White  ";3639;3660;3648;2880;4095
7;0;" NONE   ";0;10;0;0;579
7;0;" Orange ";1149;1317;1230;579;1671
7;0;" Green  ";2025;2260;2170;1671;2967
7;0;" White  ";3674;3703;3691;2967;4095
7;1;" NONE   ";0;1;0;0;548
7;1;" Orange ";1096;1353;1207;548;1722
7;1;" Green  ";2091;2313;2213;1722;2995
7;1;" White  ";3678;3702;3687;2995;4095
7;2;" NONE   ";0;9;0;0;479
7;2;" Orange ";950;1201;1055;479;1505
7;2;" Green  ";1809;2004;1896;1505;2830
7;2;" White  ";3656;3685;3669;2830;4095
7;3;" NONE   ";0;0;0;0;443
7;3;" Orange ";887;1045;960;443;1346
7;3;" Green  ";1648;1818;1736;1346;2730
7;3;" White  ";3642;3668;3654;2730;4095
7;4;" NONE   ";0;5;0;0;419
7;4;" Orange ";834;1033;947;419;1321
7;4;" Green  ";1609;1774;1689;1321;2692
7;4;" White  ";3611;3650;3633;2692;4095
7;5;" NONE   ";0;0;0;0;392
7;5;" Orange ";785;931;849;392;1210
7;5;" Green  ";1490;1597;1540;1210;2433
7;5;" White  ";3269;3617;3500;2433;4095
